names,info,imgs
Lelouch Lamperouge,"Age: 17 (first season), 18 (second season)
Date of Birth:  December 5, 1999 a.t.b. (Sagittarius)
Blood Type: A
Nationality: Britannian
Height: 178 cm (5'10"")
Weight: 56 kg (123 lbs)
Occupation: Student, Terrorist, Knightmare Pilot, Politician, Emperor, Prince
Allegiance: Order of the Black Knights
Position: Leader of the Black Nights
Knightmare: Sutherland, Burai, Gawain, Shinkirō",https://cdn.myanimelist.net/images/characters/4/277146.jpg
Levi,"Birthday: December 25
Height: 160 cm (5'3"")
Weight: 65 kg (143 lbs)
Affiliations: Scouting Legion, Special Operations Squad",https://cdn.myanimelist.net/images/characters/2/241413.jpg
L Lawliet,"Birthday: October 31, 1979 (1982 in anime)
Zodiac sign: Scorpio
Height: 179 cm (5'10"")
Weight: 50 kg (110 lbs.)
Likes: sweets
Dislikes: Wearing socks",https://cdn.myanimelist.net/images/characters/10/249647.jpg
Luffy Monkey D,"Name: Monkey D. Luffy
Age: 17; 19
Birthdate: May 5, Taurus
Height: 172 cm; 174 cm
Blood type: F
Affiliation: Straw Hat Pirates
Position: Captain
Devil fruit: Gomu Gomu no Mi (Gum Gum Fruit)
Type: Paramecia
Bounty:",https://cdn.myanimelist.net/images/characters/9/310307.jpg
Rintarou Okabe,"Age: 18 (Steins;Gate), 19 (Steins;Gate 0)
Birthdate: December 14, 1991 (Sagittarius)
Blood Type: A
Height: 177 cm (5'10"")
Weight: 59kg
Affiliations: Future Gadget Lab
Occupation: University Student",https://cdn.myanimelist.net/images/characters/6/122643.jpg
Zoro Roronoa,"Name: Roronoa Zoro
Age: 19; 21
Birthdate: November 11, Scorpio 
Height: 178 cm (5'10"") , 181 (5'11"") (after timeskip)
Affiliation: Straw Hat Pirates
Position: Swordsman
Devil Fruit: None
Bounty: ",https://cdn.myanimelist.net/images/characters/3/100534.jpg
Light Yagami,"Birthdate: February 28, 1986 (1989 in the anime)
Zodiac sign: Pisces
Hair color: Brown
Eye color: Brown
Height: 179 cm (5'10"")
Weight: 64.1 kg (141 lbs.)
Blood type: A
Occupation: high school student, a university student, detective
Age (during the series): 17-23
Likes: justice
Dislikes: evil",https://cdn.myanimelist.net/images/characters/6/63870.jpg
Killua Zoldyck,"Age: 12 (beginning), 14-15 (current)
Birthday: July 7th (2011), June 15th (1999)
Height: 158 cm 
Weight: 45 kg
Eye Color: Blue
Blood Type: A
Occupation: Assasin , Hunter
Nen Type: Transmutation
Equipment: Skateboard, Yo-Yos
Abilities: ",https://cdn.myanimelist.net/images/characters/2/327920.jpg
Edward Elric,"Age: 15-16 (series), 18 (movie, end of the series)
Birthday: 1899
Birthplace: Resembool, Amestris
Family: Alphonse Elric (brother), Trisha Elric (mother, deceased), Van Hohenheim (father)
Affiliations: State Military
Winry Rockbell
Pinako Rockbell
Izumi Curtis (teacher)
Roy Mustang (Commander)
Species: Human
Occupation: State Alchemist
Abilities: Alchemy, Martial Arts
Weapon: Alchemy, Automail arm and leg",https://cdn.myanimelist.net/images/characters/9/72533.jpg
Naruto Uzumaki,"Age: 12-13 (Naruto part I), 15-17 (part II), 19 (The Last: Naruto the Movie), 27 (Naruto epilogue), 32 (Boruto: Naruto the Movie)
Birthday: October 10
Blood type: B
Height: 145–147 cm (I), 166 cm (II), 174 cm (The Last: Naruto the Movie), 180 cm (Boruto: Naruto the Movie)
Weight: 41–44 kg (I), 52 kg (II), 56 kg (The Last: Naruto the Movie), 66 kg (Boruto: Naruto the Movie)
Favorite food: Ichiraku ramen",https://cdn.myanimelist.net/images/characters/2/284121.jpg
